Name,Type,Location,Ratings,Reviews,Menu_Price,Pax,Rooms,Amenities
Stardom Resort Jaipur,"4 Star & Above Wedding Hotels, Banquet Halls","Bhankrota, Jaipur ",5.0,3 reviews,"₹2,000per plate",,,+3 more
SASA GREEN,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Bandhwari, Delhi NCR ",5.0,5 reviews,"₹1,200per plate",100-1700,2,+4 more
Chhavi Hotels & Banquet Hall,"Banquet Halls, Marriage Garden / Lawns","Noida, Delhi NCR ",5.0,5 reviews,"₹1,200per plate",40-300,139,+4 more
The Royal Casa,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,3 reviews,"₹1,500per plate",300-2000,3,+3 more
Masaga by Qcent,"Banquet Halls, 3 Star Hotels with Banquets","Sector 105, Delhi NCR ",5.0,10 reviews,"₹1,199per plate",100-250,32,+3 more
Gulmohar Farm,"Venues With Rooms, Wedding Farmhouses","Gurgaon, Delhi NCR ",5.0,6 reviews,"₹1,550per plate",25-400,11,+6 more
The Jewels,"Banquet Halls, Small Function / Party Halls","Sector 13, Delhi NCR ",4.8,10 reviews,"₹2,200per plate",375-1500,00,+3 more
Mora Farm,"Marriage Garden / Lawns, Party Restaurants / Lounge Bars",Delhi NCR ,5.0,2 reviews,"₹2,000per plate",200-600,5,+4 more
Kanerbaag,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,1 review,"₹1,199per plate",400-500,6,+4 more
Moon Cloud Banquet,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,5.0,2 reviews,"₹1,200per plate",100-900,4,+3 more
The Event Palace,"Banquet Halls, 3 Star Hotels with Banquets","Indirapuram, Delhi NCR ",,5 reviews,"₹1,000per plate",50-1200,45,+4 more
"Holiday Inn Gurgaon NH8, an IHG Hotel","4 Star & Above Wedding Hotels, Banquet Halls",Delhi NCR ,5.0,1 review,"₹2,999per plate",30-500,137,+4 more
Atalia Resort,"Banquet Halls, Marriage Garden / Lawns","Sector 49, Delhi NCR ",5.0,4 reviews,"₹1,500per plate",75-200,10,+5 more
Rigveda Palace,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,,18 reviews,"₹1,250per plate",150-2000,4,+5 more
Shubh Celebrations,"Marriage Garden / Lawns, Venues With Rooms","East Delhi, Delhi NCR ",4.8,29 reviews,"₹1,800per plate",150-1000,3,+7 more
Shyam Bagh,"Banquet Halls, Marriage Garden / Lawns","Faridabad, Delhi NCR ",5.0,7 reviews,"₹1,500per plate",250-600,2,+4 more
Deewan Palace,"Banquet Halls, Marriage Garden / Lawns","Gurgaon, Delhi NCR ",5.0,1 review,"₹1,000per plate",100-2500,38,+3 more
Crossroads Banquets Conventions,"Banquet Halls, Marriage Garden / Lawns","Sohna Road, Delhi NCR ",4.9,12 reviews,"₹1,500per plate",150-1200,100,+3 more
Hyatt Place Udyog Vihar Gurgaon,"4 Star & Above Wedding Hotels, Banquet Halls","Udyog Vihar, Delhi NCR ",5.0,12 reviews,"₹3,000per plate",100-400,176,+4 more
The Leela Ambience Gurugram Hotel & Residences,"4 Star & Above Wedding Hotels, Banquet Halls","DLF Phase 3, Delhi NCR ",,18 reviews,"₹5,000per plate",70-1000,412,+4 more
The White Palace Banquet By Khanak,"Banquet Halls, Marriage Garden / Lawns",Delhi NCR ,4.7,15 reviews,"₹1,200per plate",150-700,60,+4 more
Nagasaran Gardens,"Marriage Garden / Lawns, Wedding Farmhouses",Chennai ,5.0,1 review,₹650per plate,400-600,2,+3 more
Sangeetha Banquet Hall,"Banquet Halls, Kalyana Mandapams","Tiruvottiyur, Chennai ",5.0,15 reviews,Rental Only,150-250,,+2 more
The Madras Grand,"Banquet Halls, 3 Star Hotels with Banquets",Chennai ,4.5,1 review,Price on Request,120-200,26,+3 more
The Residency Towers,"4 Star & Above Wedding Hotels, Banquet Halls","T Nagar, Chennai ",5.0,1 review,"₹1,000per plate",240-400,174,+3 more
Inayath Mahal,Banquet Halls,"Pallavaram, Chennai ",5.0,1 review,₹350per plate,1000-1500,,+2 more
Sea Horse Resort,"Marriage Garden / Lawns, Wedding Farmhouses","Injambakkam, Chennai ",5.0,1 review,Price on Request,450-750,4,+3 more
Madharas Banquet Hall T.Nagar,"Banquet Halls, Venues With Rooms",Chennai ,5.0,1 review,₹560per plate,500-550,4,+4 more
Ruckmani Ramjee Convention Halls,"Banquet Halls, Convention / Function Halls",Chennai ,5.0,1 review,₹800per plate,400-600,4,+4 more
Confluence,"4 Star & Above Wedding Hotels, Banquet Halls","Thoraipakkam, Chennai ",,1 review,"₹1,600per plate",650-2500,90,+3 more
Primrose 131,Banquet Halls,Chennai ,5.0,1 review,Price on Request,500-800,,+2 more
The Grand Blossoms Resort,"Marriage Garden / Lawns, 3 Star Hotels with Banquets","Redhills, Chennai ",5.0,1 review,₹600per plate,2500-3000,17,+3 more
Kanthimathi Kalyana Mandapam,"Banquet Halls, Kalyana Mandapams","Parthasarathi, Chennai ",5.0,2 reviews,₹350per plate,400-600,,+2 more
Fortel Hotel,"Banquet Halls, 3 Star Hotels with Banquets","Egmore, Chennai ",5.0,2 reviews,₹750per plate,40-250,82,+3 more
Sri Vedantha Desika Hall,Banquet Halls,"Mylapore, Chennai ",5.0,1 review,₹300per plate,150-250,,+2 more
Sri Varalakshmi Mahal,Banquet Halls,"Medavakkam, Chennai ",5.0,1 review,₹300per plate,600-900,,+2 more
"Ramada Plaza by Wyndham, Chennai","4 Star & Above Wedding Hotels, Banquet Halls","Saidapet, Chennai ",4.8,3 reviews,"₹1,600per plate",300-500,134,+3 more
Arasan Mahal,Banquet Halls,"Chromepet, Chennai ",5.0,1 review,"₹40,000per function",120-150,,+3 more
Shrivaaru Venkataachalapathy Palace,"Banquet Halls, Venues With Rooms","Maduravoyal, Chennai ",5.0,1 review,Price on Request,120-800,20,+3 more
Vel Vignesh Mahal,Banquet Halls,"Velachery, Chennai ",5.0,1 review,₹300per plate,250-350,,+2 more
Hotel Palmgrove,"Banquet Halls, 3 Star Hotels with Banquets","Nungambakkam, Chennai ",5.0,3 reviews,₹300per plate,300-500,89,+3 more
"Lemon Tree Premier, City Center, Pune","3 Star Hotels with Banquets, Destination Wedding Venues","Agarkar Nagar, Pune ",5.0,1 review,₹800per plate,80-100,80,+3 more
"Kalbhor Lawns, Manjri","Marriage Garden / Lawns, Convention / Function Halls",Pune ,4.5,1 review,₹500per plate,700-2100,,+2 more
The Poona Club,"Banquet Halls, Marriage Garden / Lawns","Bund Garden Road, Pune ",5.0,1 review,₹500per plate,70-1200,18,+3 more
Prashant Banquet Hall,Banquet Halls,"Kothrud, Pune ",5.0,1 review,₹275per plate,225-350,,+2 more
Hyatt Pune,"4 Star & Above Wedding Hotels, Banquet Halls","Kalyani Nagar, Pune ",4.5,5 reviews,"₹2,000per plate",150-250,209,+3 more
Shree Sidhhi Lawns,Marriage Garden / Lawns,"Narhe, Pune ",4.5,1 review,"₹1,00,000per function",,,+2 more
Hyatt Regency Pune & Residences,"4 Star & Above Wedding Hotels, Banquet Halls","Viman Nagar, Pune ",4.6,12 reviews,"₹2,200per plate",100-1000,222,+2 more
Golden Field Resort,"Banquet Halls, 3 Star Hotels with Banquets",Pune ,5.0,4 reviews,"₹1,450per plate",50-1000,30,+3 more
Narayani Lawns,Marriage Garden / Lawns,"Erandwane, Pune ",5.0,1 review,Price on Request,900-1500,,+2 more
"Omkar Garden, Kondhwa","Banquet Halls, Convention / Function Halls","Kondhwa, Pune ",5.0,1 review,₹500per plate,1000-2200,,+2 more
Hotel Ambience Excellency,"Banquet Halls, 3 Star Hotels with Banquets","Wakad, Pune ",4.5,1 review,₹600per plate,,,+2 more
"Digambar Hall and Lawn, Kothrud","Banquet Halls, Marriage Garden / Lawns","Kothrud, Pune ",4.5,1 review,₹400per plate,250-700,,+2 more
Spree Shivai Hotel,"4 Star & Above Wedding Hotels, Banquet Halls","Pimpri, Pune ",5.0,6 reviews,₹799per plate,500-600,43,+3 more
Crowne Plaza Pune City Centre,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,,2 reviews,"₹1,200per plate",,,+2 more
RSI Open Air Theatre,Marriage Garden / Lawns,"Camp, Pune ",5.0,1 review,Price on Request,300-500,,+2 more
Conrad Pune,"4 Star & Above Wedding Hotels, Banquet Halls",Pune ,5.0,11 reviews,"₹3,800per plate",,,+2 more
Punyaee Sabhagruha,"Banquet Halls, Convention / Function Halls","Kothrud, Pune ",5.0,1 review,₹350per plate,200-750,,+2 more
Lake View Resort,"Banquet Halls, Marriage Garden / Lawns",Pune ,5.0,1 review,₹600per plate,600-600,,+2 more
"Jarande Lawns, Kondhwa","Banquet Halls, Marriage Garden / Lawns","Hadapsar, Pune ",,1 review,₹750per plate,,,+1 more
"Aher Garden Mangal Karyalaya, Chinchwad","Marriage Garden / Lawns, Convention / Function Halls","Nigdi, Pune ",4.5,2 reviews,₹400per plate,600-900,,+2 more
