Name,Type,Ratings,Reviews,Menu_Price,Rooms,Pax_Min,Pax_Max,Destination,Amenities_+more
rhythm gurugram,"4 star & above wedding hotels, banquet halls",5.0,9,1450.0,103,30,300,ncr,4
the grand taj banquet & conventions,"banquet halls, small function / party halls",5.0,2,2100.0,2,400,600,ncr,3
ramada by wyndham gurgaon central,"4 star & above wedding hotels, banquet halls",5.0,6,2500.0,94,40,1000,ncr,4
hilltop greens surajkund,"banquet halls, marriage garden / lawns",4.7,26,1500.0,4,50,1800,ncr,7
white rose hotel,"4 star & above wedding hotels, banquet halls",5.0,21,2500.0,80,300,500,ncr,3
kaara - gurgaon,"banquet halls, marriage garden / lawns",5.0,2,1300.0,30,150,200,ncr,3
"welcomhotel by itc hotels, gst road, chennai","4 star & above wedding hotels, banquet halls",5.0,5,1500.0,171,100,600,chennai,4
the vijay park alandur,"banquet halls, 3 star hotels with banquets",5.0,1,650.0,87,200,300,chennai,3
swathi mahal,banquet halls,5.0,1,200.0,21,250,300,chennai,2
thangam maligai,banquet halls,5.0,1,400.0,21,800,1200,chennai,2
surabhi palace wedding hall,banquet halls,5.0,1,500.0,21,600,900,chennai,2
friends park ammachi party hall & restaurant,"banquet halls, marriage garden / lawns",5.0,1,250.0,21,250,450,chennai,2
radha regent,"banquet halls, 3 star hotels with banquets",5.0,2,999.0,91,999,999,chennai,3
kammavar kalyana mahal,"banquet halls, kalyana mandapams",5.0,1,350.0,21,500,750,chennai,2
kay-em spectra hotel,"banquet halls, 3 star hotels with banquets",4.5,1,1450.0,84,500,900,chennai,3
sigaram celebrations the banquet hall,banquet halls,5.0,1,1500.0,21,300,500,chennai,1
kvn kalyana mandapam,"banquet halls, kalyana mandapams",5.0,1,350.0,14,700,1050,chennai,3
pr palace wedding hall & convention centre,banquet halls,4.5,2,499.0,21,90,1100,chennai,2
utsava halls,banquet halls,5.0,2,350.0,21,250,400,chennai,2
dhanalakshmi mahal,"banquet halls, kalyana mandapams",5.0,1,450.0,21,200,500,chennai,1
soundrapandian kalyana mandapam,"banquet halls, venues with rooms",5.0,1,250000.0,8,450,600,chennai,4
hotel halez,"banquet halls, 3 star hotels with banquets",5.0,4,1100.0,109,50,500,chennai,3
